number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
129,0.5636378600823045,2022-09-18 08:51:49.451395,2022-09-18 09:50:33.725125,0 days 00:58:44.273730,8114.314831337371,sag,COMPLETE
130,0.5630946502057613,2022-09-18 08:51:58.220635,2022-09-18 09:50:22.198513,0 days 00:58:23.977878,9491.757910282126,sag,COMPLETE
131,0.5639012345679013,2022-09-18 08:52:01.649851,2022-09-18 09:48:40.399186,0 days 00:56:38.749335,5627.917454412156,sag,COMPLETE
132,0.5642139917695473,2022-09-18 08:52:14.707389,2022-09-18 09:49:37.908451,0 days 00:57:23.201062,5723.505224840416,sag,COMPLETE
133,0.563604938271605,2022-09-18 08:52:43.992715,2022-09-18 09:51:14.426059,0 days 00:58:30.433344,5700.621544341759,sag,COMPLETE
134,0.5636707818930041,2022-09-18 08:53:15.324885,2022-09-18 09:49:06.487043,0 days 00:55:51.162158,5850.106836892092,sag,COMPLETE
135,0.5657283950617285,2022-09-18 08:56:32.118830,2022-09-18 09:53:46.250237,0 days 00:57:14.131407,4884.284894242696,sag,COMPLETE
136,0.5633580246913581,2022-09-18 08:57:40.683073,2022-09-18 09:52:32.684933,0 days 00:54:52.001860,5758.4634844335205,sag,COMPLETE
137,0.5630617283950619,2022-09-18 09:48:40.473786,2022-09-18 10:41:28.826504,0 days 00:52:48.352718,8488.640330901264,sag,COMPLETE
138,0.5682304526748971,2022-09-18 09:49:06.561026,2022-09-18 10:41:04.030670,0 days 00:51:57.469644,3910.9714692255984,sag,COMPLETE
139,0.56959670781893,2022-09-18 09:49:37.994605,2022-09-18 09:50:15.434082,0 days 00:00:37.439477,3543.5968425943524,svd,COMPLETE
140,0.5626666666666666,2022-09-18 09:50:15.545459,2022-09-18 10:44:35.776480,0 days 00:54:20.231021,9117.633014577726,sag,COMPLETE
141,0.563045267489712,2022-09-18 09:50:22.312384,2022-09-18 10:43:22.579961,0 days 00:53:00.267577,8795.22311691598,sag,COMPLETE
142,0.80640329218107,2022-09-18 09:50:33.800392,2022-09-18 10:50:12.682540,0 days 00:59:38.882148,120811213.4735381,sag,COMPLETE
143,0.5778930041152264,2022-09-18 09:51:14.506298,2022-09-18 10:45:44.500295,0 days 00:54:29.993997,20040.312056993705,sag,COMPLETE
144,0.8059588477366255,2022-09-18 09:52:32.788402,2022-09-18 10:51:55.735806,0 days 00:59:22.947404,52690690.857829124,sag,COMPLETE
145,0.8062716049382717,2022-09-18 09:53:46.324829,2022-09-18 10:52:23.867959,0 days 00:58:37.543130,21275765.449792113,sag,COMPLETE
146,0.577761316872428,2022-09-18 10:41:04.104484,2022-09-18 11:36:38.134802,0 days 00:55:34.030318,20264.407182761606,sag,COMPLETE
147,0.5800987654320988,2022-09-18 10:41:28.899336,2022-09-18 11:35:50.101387,0 days 00:54:21.202051,21695.14309899325,sag,COMPLETE
148,0.5749958847736625,2022-09-18 10:43:22.684027,2022-09-18 11:39:42.149146,0 days 00:56:19.465119,18817.950894712372,sag,COMPLETE
149,0.5758024691358024,2022-09-18 10:44:35.879793,2022-09-18 11:39:15.418228,0 days 00:54:39.538435,18925.901640314492,sag,COMPLETE
150,0.5722962962962963,2022-09-18 10:45:44.575364,2022-09-18 11:38:50.224146,0 days 00:53:05.648782,2945.816608679946,sag,COMPLETE
